ID,Path
1,"Assets/VarcoSounds/바르코 사운드/프리셋_1스테이지/1_스테이지 입장 시 공격형 타워 하나를 선택할 수 있습니다.wav"
1,"Assets/VarcoSounds/바르코 사운드/프리셋_1스테이지/2_활성화 시킬 타워를 선택하세요.wav"
1,"Assets/VarcoSounds/바르코 사운드/프리셋_1스테이지/3_가상의 조이스틱을 조작해 방어위성을 움직일 수 있습니다.wav"
1,"Assets/VarcoSounds/바르코 사운드/프리셋_1스테이지/4_원거리 적이 발사하는 투사체는 방어위성으로 막을 수 있고 근거리 적은 그대로 통과됩니다.wav"
1,"Assets/VarcoSounds/바르코 사운드/프리셋_1스테이지/5_불 금속 냉기 불 순으로 상성이 돌고 빛과 어둠은 서로에게 강합니다.wav"
1,"Assets/VarcoSounds/바르코 사운드/프리셋_1스테이지/6_유리한 속성 공격은 1.5배, 불리한 속성 공격은 0.5배의 피해가 적용됩니다.wav"
1,"Assets/VarcoSounds/바르코 사운드/프리셋_1스테이지/7_레벨이 오를 때마다 선택창에서 타워를 선택하거나 강화시킬 수 있습니다.wav"
1,"Assets/VarcoSounds/바르코 사운드/프리셋_1스테이지/8_마지막 웨이브에서는 보스가 등장합니다.wav"
1,"Assets/VarcoSounds/바르코 사운드/프리셋_1스테이지/9_다른 적들과 달리 강하고 패턴을 가지고 있습니다.wav"
1,"Assets/VarcoSounds/바르코 사운드/프리셋_1스테이지/10_보스를 처치하면 스테이지를 클리어하게 됩니다.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/1_플레이하고 얻은 재화를 통해 새로운 행성과 타워를 뽑을 수 있습니다.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/2_가챠 탭을 선택하세요.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/3_우선 새로운 행성을 찾아봅시다.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/4_1회 탐사를 선택하세요.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/5_탐사 비용을 지원해드리겠습니다.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/6_행성은 바로 전투에서 사용할 수 있으며 행성 조각은 일정 개수를 모아 완성된 행성을 만들 수 있습니다.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/7_다음은 새로운 타워입니다.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/8_1회 개발을 눌러보세요.wav"
