Item_id,name_id,Item_buff,Item_Condition,effect_id,effect_value,duration,Item_description,Image_path,Sound
7101,6194,1,0,12020,0.2,12,6204,Assets/consumable_png/Power_Module.png,retro_magic_spell_cast_04
7802,6195,8,0,12021,0.2,10,6205,Assets/consumable_png/Tempo_Module.png,retro_magic_spell_cast_04
7203,6196,2,0,12022,0.25,10,6206,Assets/consumable_png/Rpm_Booster.png,retro_magic_spell_cast_04
7304,6197,3,3,12020,0.25,12,6207,Assets/consumable_png/Flame_Amplifier.png,retro_magic_spell_cast_04
7405,6198,4,4,12020,0.25,12,6208,Assets/consumable_png/Cold_Amplifier.png,retro_magic_spell_cast_04
7506,6199,5,5,12020,0.25,12,6209,Assets/consumable_png/Metal_Amplifier.png,retro_magic_spell_cast_04
7707,6200,7,7,12020,0.25,12,6210,Assets/consumable_png/Dark_Amplifier.png,retro_magic_spell_cast_04
7608,6201,6,6,12020,0.25,12,6211,Assets/consumable_png/Light_Amplifier.png,retro_magic_spell_cast_04
7909,6202,9,0,12023,0.3,10,6212,Assets/consumable_png/Shield_Device.png,magic_flame_of_light_03
71010,6203,10,0,12024,0.3,0,6213,Assets/consumable_png/Revert_Patch.png,magic_light_bubble_01
